input_id,model,latency_ms,input_tokens,output_tokens,cost_usd,quality_score_1to5,notes
input1,gemini-3.1-pro-preview,12787.76,705,118,0.002826,5,An excellent and well-structured summary that accurately covers all key points.
input1,gemini-2.5-flash,6607.69,705,102,0.0004665,5,"Excellent and comprehensive summary that accurately covers all the key points, including the benefits and limitations."
input1,gemini-2.5-flash-lite,862.84,705,76,0.0001009,5,The summary accurately and concisely covers the main applications and ethical considerations mentioned in the text.
input19,gemini-3.1-pro-preview,12078.45,450,129,0.002448,5,"An excellent summary that accurately and clearly captures the document's main points on impact, challenges, and future requirements."
input19,gemini-2.5-flash,4751.59,450,96,0.000375,5,Excellent summary that accurately and concisely covers all key points.
input19,gemini-2.5-flash-lite,650.71,450,105,8.7e-05,5,An excellent and comprehensive summary that accurately captures the document's main points with great clarity.
input18,gemini-3.1-pro-preview,10070.14,475,135,0.00257,5,"Excellent summary that is accurate, clear, and covers all key points of the original document."
input18,gemini-2.5-flash,7125.98,475,97,0.000385,5,"A clear, accurate, and comprehensive summary of the original text."
input18,gemini-2.5-flash-lite,1270.52,475,137,0.0001023,5,"Excellent summary that accurately and completely captures all key aspects of the original document in a clear, concise format."
input2,gemini-3.1-pro-preview,10903.46,450,129,0.002448,5,Excellent summary that accurately and concisely captures all key points from the original document.
input2,gemini-2.5-flash,12997.67,450,88,0.000355,5,An excellent summary that accurately and concisely covers all key points of the original document.
input2,gemini-2.5-flash-lite,1020.89,450,103,8.62e-05,5,The summary accurately captures all the main points of the source document with excellent clarity and completeness.
input3,gemini-3.1-pro-preview,12621.96,450,124,0.002388,5,Excellent summary that accurately and concisely captures all key points from the source text.
input3,gemini-2.5-flash,4186.0,450,116,0.000425,5,"The summary is accurate, clear, and completely captures the key arguments of the original document."
input3,gemini-2.5-flash-lite,1006.73,450,107,8.78e-05,5,"The summary accurately reflects the source document, which seems to incorrectly use the term 'Climate Change' to refer to technology."
input7,gemini-3.1-pro-preview,11096.37,476,100,0.002152,5,A well-structured and comprehensive summary of the source text's main arguments.
input7,gemini-2.5-flash,5471.52,476,105,0.0004053,5,Excellent summary that accurately and concisely covers the document's main points.
